Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Czas,Tempo,Wiek
M,M30,1161.0,3.87,2328.0,3.89,3557.0,4.096666666666667,4929.0,4.573333333333333,5190.0,4.100497748281584,40.0
M,M40,1226.0,4.086666666666667,2410.0,3.9466666666666663,3656.0,4.153333333333333,4962.0,4.3533333333333335,5190.0,4.100497748281584,41.0
M,M40,1235.0,4.116666666666666,2427.0,3.9733333333333336,3656.0,4.096666666666667,4964.0,4.36,5192.0,4.102077901556451,41.0
M,M40,1155.0,3.85,2280.0,3.75,3494.0,4.046666666666667,4913.0,4.73,5197.0,4.10602828474362,46.0
M,M40,1235.0,4.116666666666666,2421.0,3.953333333333333,3657.0,4.12,4976.0,4.3966666666666665,5204.0,4.111558821205657,46.0
M,M20,1258.0,4.193333333333333,2468.0,4.033333333333333,3679.0,4.036666666666666,4970.0,4.303333333333333,5205.0,4.11234889784309,30.0
M,M40,1187.0,3.9566666666666666,2376.0,3.963333333333333,3619.0,4.1433333333333335,4968.0,4.496666666666667,5212.0,4.117879434305128,48.0
M,M30,1195.0,3.983333333333333,2375.0,3.933333333333333,3613.0,4.126666666666667,4961.0,4.493333333333334,5212.0,4.117879434305128,31.0
M,M40,1207.0,4.023333333333333,2388.0,3.9366666666666665,3631.0,4.1433333333333335,4976.0,4.483333333333333,5220.0,4.124200047404599,47.0
M,M30,1173.0,3.91,2359.0,3.953333333333333,3622.0,4.21,4985.0,4.543333333333334,5220.0,4.124200047404599,37.0
M,M30,1163.0,3.8766666666666665,2299.0,3.786666666666666,3507.0,4.026666666666666,4944.0,4.79,5222.0,4.125780200679467,34.0
M,M40,1247.0,4.156666666666667,2449.0,4.006666666666667,3694.0,4.15,4991.0,4.323333333333333,5226.0,4.128940507229201,44.0
M,M40,1162.0,3.8733333333333335,2340.0,3.9266666666666663,3606.0,4.22,4984.0,4.593333333333334,5230.0,4.132100813778937,42.0
M,M40,1149.0,3.83,2309.0,3.8666666666666663,3557.0,4.16,4954.0,4.656666666666666,5231.0,4.132890890416371,45.0
M,M40,1181.0,3.9366666666666665,2371.0,3.966666666666667,3625.0,4.180000000000001,4992.0,4.556666666666667,5232.0,4.133680967053804,48.0
M,M50,1131.0,3.77,2289.0,3.86,3534.0,4.15,4966.0,4.7733333333333325,5232.0,4.133680967053804,51.0
M,M40,1247.0,4.156666666666667,2460.0,4.043333333333333,3702.0,4.14,5004.0,4.34,5234.0,4.135261120328672,41.0
M,M40,1199.0,3.996666666666667,2376.0,3.923333333333333,3614.0,4.126666666666667,4978.0,4.546666666666667,5235.0,4.136051196966106,50.0
M,M40,1182.0,3.94,2371.0,3.963333333333333,3625.0,4.180000000000001,4993.0,4.5600000000000005,5236.0,4.136841273603539,44.0
M,M30,1179.0,3.93,2360.0,3.9366666666666665,3599.0,4.13,4984.0,4.616666666666666,5237.0,4.137631350240974,31.0
M,M20,1256.0,4.1866666666666665,2490.0,4.113333333333333,3752.0,4.206666666666667,5029.0,4.256666666666667,5237.0,4.137631350240974,30.0
M,M20,1122.0,3.74,2247.0,3.75,3465.0,4.06,4953.0,4.96,5240.0,4.140001580153276,27.0
M,M40,1178.0,3.9266666666666663,2392.0,4.046666666666667,3655.0,4.21,4992.0,4.456666666666666,5240.0,4.140001580153276,50.0
M,M30,1223.0,4.076666666666666,2426.0,4.01,3645.0,4.0633333333333335,4999.0,4.513333333333334,5244.0,4.143161886703011,36.0
M,M40,1218.0,4.06,2423.0,4.016666666666667,3675.0,4.173333333333334,5009.0,4.446666666666667,5245.0,4.143951963340444,44.0
M,M30,1183.0,3.943333333333333,2369.0,3.953333333333333,3631.0,4.206666666666667,4996.0,4.55,5246.0,4.144742039977879,35.0
M,M20,1249.0,4.163333333333333,2456.0,4.023333333333333,3677.0,4.069999999999999,5012.0,4.45,5248.0,4.146322193252746,26.0
M,M30,1186.0,3.953333333333333,2379.0,3.9766666666666666,3618.0,4.13,4994.0,4.586666666666667,5250.0,4.147902346527613,38.0
M,M20,1195.0,3.983333333333333,2388.0,3.9766666666666666,3647.0,4.196666666666667,5007.0,4.533333333333333,5251.0,4.148692423165048,26.0
M,M30,1246.0,4.153333333333333,2438.0,3.9733333333333336,3678.0,4.133333333333334,5017.0,4.463333333333334,5251.0,4.148692423165048,34.0
M,M30,1247.0,4.156666666666667,2439.0,3.9733333333333336,3664.0,4.083333333333333,5017.0,4.510000000000001,5252.0,4.149482499802481,39.0
